date,name,abbr,deaths,total cases,new cases
11/15/2020,Alaska,AK,660,20831.57143,3930
11/8/2020,Alaska,AK,588,17268.14286,3069
11/1/2020,Alaska,AK,532,14516.42857,2622
10/25/2020,Alaska,AK,474,12001.57143,2020
10/18/2020,Alaska,AK,449,10427,1309
10/11/2020,Alaska,AK,415,9113.571429,1265
10/4/2020,Alaska,AK,398,8040.428571,898
9/27/2020,Alaska,AK,339,7211.714286,689
9/20/2020,Alaska,AK,311,6572.428571,585
9/13/2020,Alaska,AK,299,6026.142857,499
9/6/2020,Alaska,AK,279,5502.857143,526
8/30/2020,Alaska,AK,253,5024.857143,492
8/23/2020,Alaska,AK,208,4533.285714,495
8/16/2020,Alaska,AK,189,3999.714286,545
8/9/2020,Alaska,AK,177,3505.428571,445
8/2/2020,Alaska,AK,159,2922.142857,740
7/26/2020,Alaska,AK,133,2211.857143,651
7/19/2020,Alaska,AK,121,1694.428571,404
7/12/2020,Alaska,AK,118,1291.428571,337
7/5/2020,Alaska,AK,103,1024.857143,254
6/28/2020,Alaska,AK,90,821.7142857,126
6/21/2020,Alaska,AK,84,714.7142857,96
6/14/2020,Alaska,AK,79,615.7142857,116
6/7/2020,Alaska,AK,70,515,86
5/31/2020,Alaska,AK,70,427.8571429,53
5/24/2020,Alaska,AK,70,405.1428571,12
5/17/2020,Alaska,AK,70,388.4285714,19
5/10/2020,Alaska,AK,68,374.4285714,11
5/3/2020,Alaska,AK,63,357.5714286,27
4/26/2020,Alaska,AK,63,334.4285714,22
4/19/2020,Alaska,AK,62,299.5714286,47
4/12/2020,Alaska,AK,49,234.2857143,87
4/5/2020,Alaska,AK,26,150.2857143,75
3/29/2020,Alaska,AK,7,66.71428571,85
3/22/2020,Alaska,AK,0,10.85714286,25
3/15/2020,Alaska,AK,0,0,0
11/15/2020,Alabama,AL,22343,211140,14135
11/8/2020,Alabama,AL,21207,199234.1429,9702
11/1/2020,Alabama,AL,20455,189340,9630
10/25/2020,Alabama,AL,19833,178307.4286,11729
10/18/2020,Alabama,AL,19154,169295.7143,7284
10/11/2020,Alabama,AL,18358,162416.5714,6173
10/4/2020,Alabama,AL,17772,155889.8571,6848
9/27/2020,Alabama,AL,17383,148899,7359
9/20/2020,Alabama,AL,16837,142064.5714,6207
9/13/2020,Alabama,AL,16173,135666.4286,6441
9/6/2020,Alabama,AL,15649,129386.8571,7079
8/30/2020,Alabama,AL,14603,120791.1429,10175
8/23/2020,Alabama,AL,13793,112236.2857,6627
8/16/2020,Alabama,AL,13103,105648,7099
8/9/2020,Alabama,AL,11946,96518.71429,9890
8/2/2020,Alabama,AL,10895,85934.42857,12150
7/26/2020,Alabama,AL,9722,74100.42857,12283
7/19/2020,Alabama,AL,8567,61184.42857,13424
7/12/2020,Alabama,AL,7505,48977.28571,9634
7/5/2020,Alabama,AL,6856,40424.71429,8512
6/28/2020,Alabama,AL,6237,33075.42857,5420
6/21/2020,Alabama,AL,5658,28182,4406
6/14/2020,Alabama,AL,5261,23015.28571,5115
6/7/2020,Alabama,AL,4660,19265.42857,2597
5/31/2020,Alabama,AL,4162,16337.71429,3576
5/24/2020,Alabama,AL,3673,13164.71429,2556
5/17/2020,Alabama,AL,3195,10916.28571,1994
5/10/2020,Alabama,AL,2454,8907.714286,2052
5/3/2020,Alabama,AL,1835,7052,1455
4/26/2020,Alabama,AL,1360,5676.857143,1433
4/19/2020,Alabama,AL,907,4298.571429,1312
4/12/2020,Alabama,AL,510,2701.285714,1729
4/5/2020,Alabama,AL,200,1279.714286,990
3/29/2020,Alabama,AL,11,465.7142857,668
3/22/2020,Alabama,AL,0,74.42857143,126
3/15/2020,Alabama,AL,0,2.714285714,12
11/15/2020,Arkansas,AR,14969,127846.4286,11174
11/8/2020,Arkansas,AR,14260,117608,9676
11/1/2020,Arkansas,AR,13209,109716,6075
10/25/2020,Arkansas,AR,12356,102857.1429,7049
10/18/2020,Arkansas,AR,11529,96350.14286,6233
10/11/2020,Arkansas,AR,10503,89960.57143,5820
10/4/2020,Arkansas,AR,9655,84662.71429,5771
9/27/2020,Arkansas,AR,8740,78900,5519
9/20/2020,Arkansas,AR,7852,73197,5504
9/13/2020,Arkansas,AR,6596,68143.85714,4993
9/6/2020,Arkansas,AR,5962,63352.42857,4370
8/30/2020,Arkansas,AR,5190,58836.14286,4282
8/23/2020,Arkansas,AR,4518,54852.85714,3909
8/16/2020,Arkansas,AR,4055,51481.14286,3282
8/9/2020,Arkansas,AR,3574,46965.71429,6210
8/2/2020,Arkansas,AR,3083,41601.71429,4550
7/26/2020,Arkansas,AR,2686,36172.57143,6090
7/19/2020,Arkansas,AR,2393,30877.14286,4166
7/12/2020,Arkansas,AR,2141,25900.28571,5158
7/5/2020,Arkansas,AR,1944,21906.57143,3899
6/28/2020,Arkansas,AR,1692,17758.57143,4168
6/21/2020,Arkansas,AR,1431,14079.57143,2641
6/14/2020,Arkansas,AR,1183,10942.71429,3075
6/7/2020,Arkansas,AR,1010,8314,2173
5/31/2020,Arkansas,AR,867,6546.857143,1331
5/24/2020,Arkansas,AR,761,5334.714286,1163
5/17/2020,Arkansas,AR,675,4342.571429,1012
5/10/2020,Arkansas,AR,600,3617.285714,316
5/3/2020,Arkansas,AR,435,3242.714286,490
4/26/2020,Arkansas,AR,313,2486,1160
4/19/2020,Arkansas,AR,245,1613.428571,501
4/12/2020,Arkansas,AR,145,1088.142857,450
4/5/2020,Arkansas,AR,79,642.8571429,404
3/29/2020,Arkansas,AR,19,316.8571429,261
3/22/2020,Arkansas,AR,0,71.71428571,149
3/15/2020,Arkansas,AR,0,6.142857143,16
11/15/2020,Arizona,AZ,43683,267517.5714,16172
11/8/2020,Arizona,AZ,42568,253252.8571,11791
11/1/2020,Arizona,AZ,41483,242885,9310
10/25/2020,Arizona,AZ,40988,234924.1429,7014
10/18/2020,Arizona,AZ,40544,228601.2857,5574
10/11/2020,Arizona,AZ,40160,223368.5714,4821
10/4/2020,Arizona,AZ,39683,219189.8571,3517
9/27/2020,Arizona,AZ,38892,215809,3219
9/20/2020,Arizona,AZ,37840,211430.2857,5506
9/13/2020,Arizona,AZ,36889,207102.1429,2746
9/6/2020,Arizona,AZ,35867,203850.5714,4105
8/30/2020,Arizona,AZ,34403,200127.2857,3558
8/23/2020,Arizona,AZ,32568,196237,4566
8/16/2020,Arizona,AZ,30504,190629.8571,6614
8/9/2020,Arizona,AZ,27926,183419.2857,8456
8/2/2020,Arizona,AZ,24998,171187.2857,16453
7/26/2020,Arizona,AZ,21472,153682.1429,18390
7/19/2020,Arizona,AZ,17582,134471.4286,21157
7/12/2020,Arizona,AZ,14208,112444.1429,24378
7/5/2020,Arizona,AZ,12099,87109.28571,24181
6/28/2020,Arizona,AZ,10381,63753.71429,21518
6/21/2020,Arizona,AZ,8912,44149.42857,16699
6/14/2020,Arizona,AZ,7852,31451,8802
6/7/2020,Arizona,AZ,6933,23290.14286,6953
5/31/2020,Arizona,AZ,5995,18003.57143,3597
5/24/2020,Arizona,AZ,5274,15276.28571,2402
5/17/2020,Arizona,AZ,4332,12671.85714,2818
5/10/2020,Arizona,AZ,3218,10068.71429,2479
5/3/2020,Arizona,AZ,2232,7640,2114
4/26/2020,Arizona,AZ,1680,5770.571429,1597
4/19/2020,Arizona,AZ,1075,4265.571429,1390
4/12/2020,Arizona,AZ,627,2974.142857,1270
4/5/2020,Arizona,AZ,262,1644.857143,1350
3/29/2020,Arizona,AZ,66,596.7142857,767
3/22/2020,Arizona,AZ,3,61.57142857,140
3/15/2020,Arizona,AZ,0,8.857142857,7
11/15/2020,California,CA,126764,993083.4286,54706
11/8/2020,California,CA,124693,946082.2857,38105
11/1/2020,California,CA,122637,913183.1429,28505
10/25/2020,California,CA,120096,883011.4286,30712
10/18/2020,California,CA,117221,858450.7143,20738
10/11/2020,California,CA,114407,835604.4286,22850
10/4/2020,California,CA,111108,813920.2857,21421
9/27/2020,California,CA,107124,791244.7143,23908
9/20/2020,California,CA,102883,767045.8571,23477
9/13/2020,California,CA,97972,743850,22779
9/6/2020,California,CA,93283,717539.5714,32235
8/30/2020,California,CA,87795,683849.1429,36240
8/23/2020,California,CA,81736,645025.2857,42107
8/16/2020,California,CA,75650,593120.7143,67402
8/9/2020,California,CA,68954,532484.7143,44998
8/2/2020,California,CA,62172,484398.1429,55503
7/26/2020,California,CA,56285,423698.8571,68967
7/19/2020,California,CA,51454,356528.7143,63888
7/12/2020,California,CA,46871,296124.2857,54819
7/5/2020,California,CA,43076,242611.1429,54742
6/28/2020,California,CA,40049,195008.1429,37419
6/21/2020,California,CA,36987,161667.8571,24969
6/14/2020,California,CA,34002,139537.2857,20043
6/7/2020,California,CA,30990,120505.5714,18229
5/31/2020,California,CA,27903,101902.1429,17873
5/24/2020,California,CA,24726,86323.42857,13871
5/17/2020,California,CA,21156,73170.57143,12159
5/10/2020,California,CA,17495,60618.71429,13064
5/3/2020,California,CA,13892,48595.28571,11452
4/26/2020,California,CA,10222,37079.85714,11831
4/19/2020,California,CA,6379,26159.42857,8539
4/12/2020,California,CA,3452,18192.57143,8356
4/5/2020,California,CA,1492,9634.285714,7730
3/29/2020,California,CA,487,3346.571429,4172
3/22/2020,California,CA,119,890.1428571,1243
3/15/2020,California,CA,18,193.2857143,205
11/15/2020,Colorado,CO,15451,143888.7143,31267
11/8/2020,Colorado,CO,15006,118263.5714,20617
11/1/2020,Colorado,CO,14639,100731.4286,13950
10/25/2020,Colorado,CO,14441,89043,9031
10/18/2020,Colorado,CO,14143,81125.28571,6727
10/11/2020,Colorado,CO,13902,75110.28571,5087
10/4/2020,Colorado,CO,13695,70685.85714,4045
9/27/2020,Colorado,CO,13494,66661.57143,4154
9/20/2020,Colorado,CO,13330,62722.71429,3449
9/13/2020,Colorado,CO,13149,59991.28571,1918
9/6/2020,Colorado,CO,12991,58053.14286,1948
8/30/2020,Colorado,CO,12821,56062,2158
8/23/2020,Colorado,CO,12579,53968.14286,2045
8/16/2020,Colorado,CO,12288,51784.42857,2514
8/9/2020,Colorado,CO,12029,48959.85714,3057
8/2/2020,Colorado,CO,11769,45755.85714,3478
7/26/2020,Colorado,CO,11483,41792.57143,4001
7/19/2020,Colorado,CO,11215,38264.85714,3197
7/12/2020,Colorado,CO,10902,35201.28571,2725
7/5/2020,Colorado,CO,10593,33057,1844
6/28/2020,Colorado,CO,10218,31227,1673
6/21/2020,Colorado,CO,9771,29711.57143,1332
6/14/2020,Colorado,CO,9241,28502.28571,1169
6/7/2020,Colorado,CO,8651,27089.42857,1750
5/31/2020,Colorado,CO,7955,24943.85714,2134
5/24/2020,Colorado,CO,7006,22865.85714,2331
5/17/2020,Colorado,CO,6886,20559.57143,2258
5/10/2020,Colorado,CO,6405,17901.28571,3150
5/3/2020,Colorado,CO,5341,14810.14286,3257
4/26/2020,Colorado,CO,3763,11092.28571,3535
4/19/2020,Colorado,CO,2474,8393,2540
4/12/2020,Colorado,CO,1436,5874.142857,2328
4/5/2020,Colorado,CO,585,3432.571429,2504
3/29/2020,Colorado,CO,142,1219.142857,1586
3/22/2020,Colorado,CO,18,257.8571429,344
3/15/2020,Colorado,CO,2,56.85714286,123
11/15/2020,Connecticut,CT,33058,85860.71429,10520
11/8/2020,Connecticut,CT,32568,76360.57143,6918
11/1/2020,Connecticut,CT,32245,69990,5155
10/25/2020,Connecticut,CT,31980,65268,3222
10/18/2020,Connecticut,CT,31768,62207.57143,2792
10/11/2020,Connecticut,CT,31677,59655.28571,1741
10/4/2020,Connecticut,CT,31566,57808.42857,1710
9/27/2020,Connecticut,CT,31490,56390.28571,1060
9/20/2020,Connecticut,CT,31421,55294.14286,1201
9/13/2020,Connecticut,CT,31334,54012.71429,961
9/6/2020,Connecticut,CT,31270,53185.28571,870
8/30/2020,Connecticut,CT,31246,52300.85714,976
8/23/2020,Connecticut,CT,31207,51403.57143,622
8/16/2020,Connecticut,CT,31147,50775.71429,577
8/9/2020,Connecticut,CT,31071,50228.85714,510
8/2/2020,Connecticut,CT,30993,49528.57143,1034
7/26/2020,Connecticut,CT,30867,48419.14286,883
7/19/2020,Connecticut,CT,30700,47729.28571,606
7/12/2020,Connecticut,CT,30411,47169.57143,570
7/5/2020,Connecticut,CT,30297,46606.42857,414
6/28/2020,Connecticut,CT,30059,46022.28571,548
6/21/2020,Connecticut,CT,29608,45497.14286,667
6/14/2020,Connecticut,CT,28993,44550,1120
6/7/2020,Connecticut,CT,28096,43328.28571,1767
5/31/2020,Connecticut,CT,26864,41572.57143,1733
5/24/2020,Connecticut,CT,25037,39271.57143,3049
5/17/2020,Connecticut,CT,22425,35517.71429,3865
5/10/2020,Connecticut,CT,19416,31662.28571,4267
5/3/2020,Connecticut,CT,15626,27551.85714,4018
4/26/2020,Connecticut,CT,11487,22788,7719
4/19/2020,Connecticut,CT,6270,15596.71429,5515
4/12/2020,Connecticut,CT,2636,9476.428571,6360
4/5/2020,Connecticut,CT,787,4135,3682
3/29/2020,Connecticut,CT,156,1104,1770
3/22/2020,Connecticut,CT,13,120.2857143,203
3/15/2020,Connecticut,CT,0,7,19
11/15/2020,District of Columbia,DC,4601,18514.71429,976
11/8/2020,District of Columbia,DC,4551,17704.14286,632
11/1/2020,District of Columbia,DC,4513,17077.71429,602
10/25/2020,District of Columbia,DC,4493,16565.28571,397
10/18/2020,District of Columbia,DC,4473,16192.42857,386
10/11/2020,District of Columbia,DC,4435,15772.28571,465
10/4/2020,District of Columbia,DC,4394,15380.42857,269
9/27/2020,District of Columbia,DC,4355,15111.85714,295
9/20/2020,District of Columbia,DC,4326,14793,363
9/13/2020,District of Columbia,DC,4301,14444.71429,313
9/6/2020,District of Columbia,DC,4264,14136.57143,320
8/30/2020,District of Columbia,DC,4234,13796.28571,369
8/23/2020,District of Columbia,DC,4207,13422,370
8/16/2020,District of Columbia,DC,4159,13026.14286,467
8/9/2020,District of Columbia,DC,4117,12523.85714,479
8/2/2020,District of Columbia,DC,4089,12066.28571,494
7/26/2020,District of Columbia,DC,4063,11573.14286,519
7/19/2020,District of Columbia,DC,4014,11074.85714,414
7/12/2020,District of Columbia,DC,3958,10685.14286,365
7/5/2020,District of Columbia,DC,3880,10391.14286,234
6/28/2020,District of Columbia,DC,3800,10155.42857,228
6/21/2020,District of Columbia,DC,3679,9903.285714,253
6/14/2020,District of Columbia,DC,3519,9588.428571,435
6/7/2020,District of Columbia,DC,3333,9097,531
5/31/2020,District of Columbia,DC,3166,8501.857143,835
5/24/2020,District of Columbia,DC,2883,7695.428571,843
5/17/2020,District of Columbia,DC,2498,6747.142857,851
5/10/2020,District of Columbia,DC,2022,5697.142857,1256
5/3/2020,District of Columbia,DC,1526,4398,1175
4/26/2020,District of Columbia,DC,979,3380,1048
4/19/2020,District of Columbia,DC,546,2356.428571,918
4/12/2020,District of Columbia,DC,240,1512,877
4/5/2020,District of Columbia,DC,99,684.5714286,656
3/29/2020,District of Columbia,DC,21,225.7142857,244
3/22/2020,District of Columbia,DC,3,50.71428571,82
3/15/2020,District of Columbia,DC,0,8.142857143,15
11/15/2020,Delaware,DE,5103,27731.71429,2200
11/8/2020,Delaware,DE,5000,25845.71429,1477
11/1/2020,Delaware,DE,4870,24598.57143,1165
10/25/2020,Delaware,DE,4713,23559.85714,868
10/18/2020,Delaware,DE,4627,22638.14286,963
10/11/2020,Delaware,DE,4549,21716.57143,887
10/4/2020,Delaware,DE,4473,20803.57143,983
9/27/2020,Delaware,DE,4411,19958,694
9/20/2020,Delaware,DE,4335,19286.71429,717
9/13/2020,Delaware,DE,4281,18481.71429,806
9/6/2020,Delaware,DE,4245,17693.28571,700
8/30/2020,Delaware,DE,4227,17091.57143,448
8/23/2020,Delaware,DE,4176,16711.85714,444
8/16/2020,Delaware,DE,4145,16026.57143,876
8/9/2020,Delaware,DE,4115,15339.28571,626
8/2/2020,Delaware,DE,4076,14683.85714,659
7/26/2020,Delaware,DE,3840,13949.71429,771
7/19/2020,Delaware,DE,3644,13185.28571,715
7/12/2020,Delaware,DE,3609,12557,676
7/5/2020,Delaware,DE,3571,11734,902
6/28/2020,Delaware,DE,3541,10981.42857,451
6/21/2020,Delaware,DE,3513,10536.14286,511
6/14/2020,Delaware,DE,3454,10117.14286,322
6/7/2020,Delaware,DE,3358,9758.285714,444
5/31/2020,Delaware,DE,3189,9207.714286,689
5/24/2020,Delaware,DE,2914,8359.142857,1139
5/17/2020,Delaware,DE,2519,7153,1223
5/10/2020,Delaware,DE,1985,5887.285714,1239
5/3/2020,Delaware,DE,1490,4755.714286,1174
4/26/2020,Delaware,DE,921,3319.428571,1496
4/19/2020,Delaware,DE,502,2094.142857,1059
4/12/2020,Delaware,DE,245,1145.714286,806
4/5/2020,Delaware,DE,105,437.1428571,441
3/29/2020,Delaware,DE,30,144.7142857,176
3/22/2020,Delaware,DE,0,31.14285714,50
3/15/2020,Delaware,DE,0,3,6
11/15/2020,Florida,FL,123045,852793.2857,40285
11/8/2020,Florida,FL,120311,816269.1429,35723
11/1/2020,Florida,FL,117883,784466.8571,28149
10/25/2020,Florida,FL,115104,757993.5714,23161
