date,deaths,total cases,new cases
11/15/2020,32011.33333,203644.8375,20023.80392
11/8/2020,31001.13725,185856.4958,14679.31373
11/1/2020,30108.4902,173058.7199,10973.47059
10/25/2020,29341,162774.1485,9357.823529
10/18/2020,28607.09804,154336.1681,7485.45098
10/11/2020,27951.86275,147135.5658,6675.607843
10/4/2020,27298.09804,140897.2549,5838.823529
9/27/2020,26622.94118,135118.6387,5982.176471
9/20/2020,25915.2549,129280.7591,5430.372549
9/13/2020,25152.29412,124069.3333,4660.392157
9/6/2020,24446.92157,119194.1289,5416.27451
8/30/2020,23617.92157,113698.3333,5595.568627
8/23/2020,22716.19608,108095.3501,5746.823529
8/16/2020,21740.03922,101831.7619,7007.588235
8/9/2020,20726.21569,94699.89916,7242.411765
8/2/2020,19716.94118,87129.35294,8224.901961
7/26/2020,18677.84314,78468.09524,8994.843137
7/19/2020,17864.37255,69425.19608,9008.176471
7/12/2020,17177.84314,60736.72829,7922.27451
7/5/2020,16618.90196,53460.91317,6758.686275
6/28/2020,16116.82353,47251.35294,5253.901961
6/21/2020,15576.45098,42727.9916,3619.509804
6/14/2020,14963.17647,39495.34454,2878.705882
6/7/2020,14230.60784,36703.92157,2852.509804
5/31/2020,13375.82353,33784.62185,2861.352941
5/24/2020,12426.70588,30916.11485,3040.313725
5/17/2020,11253.64706,27819.52101,3103.313725
5/10/2020,9809.313725,24636.2605,3346.352941
5/3/2020,8080.54902,21059.04762,3753.686275
4/26/2020,6342.294118,17131.54062,4127.862745
4/19/2020,4422.784314,13142.15966,3898
4/12/2020,2464.294118,9124.358543,4259.45098
4/5/2020,923.3333333,4998.263305,3736.333333
3/29/2020,210.1372549,1890.32493,2173.078431
3/22/2020,32.64705882,404.32493,666.9607843
3/15/2020,7.137254902,61.59383754,100.4901961
